V1,V2
gene1550,101707746
gene1551,101707392
gene1552,110350438
gene1553,101723638
gene1554,101708339
gene1555,101724000
gene1556,101724354
gene1557,101708934
gene1558,110350775
gene1559,101724700
gene1560,101725072
gene1561,101725449
gene1562,101709306
gene1563,106010043
gene1564,110350449
gene1565,110350451
gene1566,101709889
gene1567,101710475
gene1568,101726192
gene1569,110350466
gene1570,101710846
gene1571,101726557
gene1572,110350468
gene1573,106010050
gene1574,101712891
gene1575,101713509
gene1576,110350476
gene1577,101713857
gene1578,101714546
gene1579,101714205
gene1580,101715127
gene1581,106009572
gene1582,101716416
gene1583,106010053
gene1584,110350506
gene1585,101696780
gene1586,101697155
gene1587,101716759
gene1588,101717344
gene1589,101717688
gene1590,101718241
gene1591,101697526
gene1592,101719171
gene1593,101718829
gene1594,101697906
gene1595,106010070
gene1596,101698277
gene1597,101720114
gene1598,110350781
gene1599,110350784
gene1600,101721393
gene1601,101723387
gene1602,101724227
gene1603,101724580
gene1604,101698660
gene1605,101724934
gene1606,110350788
gene1607,106009666
gene1608,101725316
gene1609,101726064
gene1610,101725707
gene1611,101726437
gene1612,101697524
gene1613,101699024
gene1614,101698135
gene1615,101698891
gene1616,101698527
gene1617,106009667
gene1618,101699493
gene1619,101699379
gene1620,101699738
gene1621,106009581
gene1622,101700094
gene1623,101699858
gene1624,101700207
gene1625,101700807
gene1626,101701879
gene1627,101702937
gene1628,110350567
gene1629,101704486
gene1630,101705435
gene1631,101705069
gene1632,110350649
gene1633,101701539
gene1634,101705809
gene1635,110350573
gene1636,101701881
gene1637,101702234
gene1638,101702939
gene1639,101703289
gene1640,101704012
gene1641,101704379
gene1642,101707034
gene1643,101704728
gene1644,101705070
gene1645,106009685
gene1646,101705436
gene1647,101707393
gene1648,101707747
gene1649,101705810
gene1650,106009770
gene1651,101708118
gene1652,101708463
gene1653,101708811
gene1654,101706157
gene1655,101709189
gene1656,106009584
gene1657,106009688
gene1658,101706523
gene1659,101706893
gene1660,101707259
gene1661,101709890
